Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Tenure Group,Income Group
41,Yes,Travel_Rarely,Sales,1,Life Sciences,1,1,Female,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,8,1,6,4,0,5,Adult,6-10 Years,Medium
49,No,Travel_Frequently,Research & Development,8,Life Sciences,1,2,Male,2,Research Scientist,2,Married,5130,1,No,23,4,4,10,3,10,7,1,7,Elder,6-10 Years,Medium
37,Yes,Travel_Rarely,Research & Development,2,Other,1,4,Male,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,7,3,0,0,0,0,Adult,0-2 Years,Low
33,No,Travel_Frequently,Research & Development,3,Life Sciences,1,5,Female,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,8,3,8,7,3,0,Adult,6-10 Years,Low
27,No,Travel_Rarely,Research & Development,2,Medical,1,7,Male,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,6,3,2,2,2,2,Adult,0-2 Years,Low
32,No,Travel_Frequently,Research & Development,2,Life Sciences,1,8,Male,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,8,2,7,7,3,6,Adult,6-10 Years,Low
59,No,Travel_Rarely,Research & Development,3,Medical,1,10,Female,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,12,2,1,0,0,0,Elder,0-2 Years,Low
30,No,Travel_Rarely,Research & Development,24,Life Sciences,1,11,Male,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,3,1,0,0,0,Adult,0-2 Years,Low
38,No,Travel_Frequently,Research & Development,23,Life Sciences,1,12,Male,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,10,3,9,7,1,8,Adult,6-10 Years,Medium
36,No,Travel_Rarely,Research & Development,27,Medical,1,13,Male,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,17,2,7,7,7,7,Adult,6-10 Years,Medium
35,No,Travel_Rarely,Research & Development,16,Medical,1,14,Male,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,6,3,5,4,0,3,Adult,3-5 Years,Low
29,No,Travel_Rarely,Research & Development,15,Life Sciences,1,15,Female,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,10,3,9,5,0,8,Adult,6-10 Years,Low
31,No,Travel_Rarely,Research & Development,26,Life Sciences,1,16,Male,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,5,2,5,2,4,3,Adult,3-5 Years,Low
34,No,Travel_Rarely,Research & Development,19,Medical,1,18,Male,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,3,3,2,2,1,2,Adult,0-2 Years,Low
